# Neurologia - baza pytan
# Format: Pytanie?|A|B|C|D|poprawna_litera

Szybko postepujace otepienie jest typowym objawem dla:|Ostrego ropnego zapalenia opon mozgowo-rdzeniowych|Przewleklego zapalenia opon mozgowo-rdzeniowych|Neuroboreliozy|Choroby Creutzfeldta-Jacoba|D
Do objawow polineuropatii nie nalezy:|Zaburzenia czucia o typie skarpetek i rekawiczek|Niedowlad dystalnych czesci konczyn|Oslabienie lub zniesienie odruchow scieggnistych|Wzmozoone napiecie miesniowe|D
Typowym objawem choroby Parkinsona nie jest:|Drzenie spoczynkowe konczyn|Drzenie zamiarowe konczyn|Zuboznie ruchowe|Sztywnosc miesni|B
Najczestsze przyczyny udaru mozgu to:|Miazdzca tetnic szyjnych i migotanie przedsionkow|Miazdzca tetnic mozgowych i rozwartwienie tetnic szyjnych|Migotanie przedsionkow, choroby metaboliczne|Choroba malych naczyn, nikotynizm|A
Wskaż zdanie prawdziwe dotyczace krwotoku podpajecznynowkowego:|Krwotok podpajecznynowkowy jest najczestszym typem udaru mozgu|Krwotok podpajecznynowkowy jest najrzadszym typem udaru krwotocznego|Krwotok podpajecznynowkowy wystepuje wylacznie u osob powyzej 65 roku zycia|Przyczyna krwotoku podpajecznynowkowego jest pekniecie tetniaka lub uraz glowy|D
Przejsciowy atak niedokrwienny jest:|Rodzajem dokonanego udaru mozgu|Czynnikiem ryzyka udaru mozgu|Zdarzeniem trwajacym powyzej 24h|Zachorowaniem kwalifikowanym do leczenia trombolitycznego|B
Wskaż zdanie prawdziwe dotyczace udaru:|Udar mozgu najczesciej przebiega z silnym bolem glowy|Udar niedokrwienny jest najczestszym typem udaru mozgu|Udar mozgu wystepuje wylacznie w populacji powyzej 65 roku zycia|Najczestszym objawem udaru mozgu jest zespol oponowy|B
Terapia trombolityczna jest stosowana w udarze niedokrwiennym:|W ciagu 4,5h od wystapienia pierwszych objawow udaru|Wylacznie w udarze o przyczynie kardiogennej|W ciagu 8h od zachorowania|Wylacznie u osob ponizej 80 roku zycia|A
Najpowazniejszym powiklaniem terapii trombolitycznej w ostrym okresie udaru mozgu jest:|Objawowe krwawienie wewnatrzzczaszkowe|Nudnosci i wymioty|Wysypka skorna|Krwawienie z nosa|A
Do najczestszych nastepstw udaru mozgu naleza:|Zaburzenia wechu, depresja|Padaczka, depresja|Otepienie, obwodowy typ uszkodzenia nerwu twarzowego|Niedosluch jednostronny, bole glowy|B
Najczestszy typ zaburzen mowy w przebiegu udaru mozgu to:|Anartria|Dysfonia|Mowa skandowana|Afazja mieszana|D
Do cech charakterystycznych neuropatii nalezy:|Oslabienie odruchow glebokicch|Wzmozenie odruchow glebokicch|Wzmozenie napiecia miesniowego|Wystepowanie bolu|A
Do cech charakterystycznych miopatii nie nalezy:|Oslabienie odruchow glebokicch|Oslabieniemiesni|Wzmozenie napiecia miesniowego|Wystepowanie bolu|C
Wskaż zdanie PRAWDZIWE dotyczace padaczki:|Padaczka moze byc rozpoznana tylko przy zmianach patologicznych w badaniach obrazowych|Wystapienie jednego napadu drgawkowego zawsze wystarcza do rozpoznania padaczki|Prawidlowy zapis EEG w okresie miedzynamiarzadowym wyklucza rozpoznanie padaczki|Wszystkie ww zdania sa falszywe|D
Do spektrum klinicznego choroby Huntingtona nie nalezy:|Otepienie|Ruchy mimowolne|Nuzliwosc miesni|Zespol pozapiramidowy|C
Choroba Creutzfeldta-Jacoba jest przykladem zespolu otepiennego o tle:|Naczyniowym|Zwyrodnieniowym|Zapalnym|Toksycznym|B
Wskaż odpowiedz NIEPRAWDZIWA dotyczaca lagodnych zaburzen poznawczych:|Zawsze prowadza do rozwoju otepienia|Wystepuja u 3-13% osob po 65 r.z.|Charakteryzuja sie brakiem uchwytnych klinicznie zaburzen poznawczych|Moga u danego pacjenta pozostac w zmiennym nasileniu do konca zycia|A
Wskaż stwierdzenie prawdziwe dotyczace guzow mozgu:|Guzy mozgu zawsze charakteryzuja sie szybkim wzrostem|Guzy przerzutowe do mozgu stanowia okolo 5% wszystkich guzow mozgu|Glejaki wielopostaciowe to najczestsze guzy mozgu u doroslych o wysokiej zlosliwosci|Wszystkie ww zdania sa falszywe|C
Do zaburzen swiadomosci pacjenta nie dochodzi w trakcie:|Napadow czesciowych prostych|Napadow czesciowych zlozonych|Napadow pierwotnie uogolnionych|Napadow wtornie uogolnionych|A
Wskaż zdanie prawdziwe dotyczace EEG i padaczki:|Prawidlowy zapis EEG w okresie miedzynamiarzadowym wyklucza rozpoznanie padaczki|U pacjenta bez objawow klinicznych nieprawidlowy zapis EEG wystarcza do rozpoznania padaczki|U pacjenta po pierwszym napadzie nie jest zalecane badanie neuroobrazowe|Wszystkie ww sa falszywe|D
Choroba Alzheimera stanowi przyklad:|Otepienia korowego|Otepienia podkorowego|Otepienia korowego i podkorowego|Zadna odpowiedz nie jest prawidlowa|A
Skala Glasgow sluzy do oceny:|Sily miesniowej|Poziomu uszkodzenia rdzenia kregowego|Stopnia zaburzen swiadomosci|Adiadochokinezy|C
Do objawow oponowych nie nalezy:|Sztywnosc karku|Objaw Babinskiego|Objaw Brudzinskiego|Objaw Rossolimo|D
